Type,Entry Time,Exit Time,Profit/Loss,Entry,Exit,Result,Equity
Buy,2024-10-31 21:00:00,2024-10-31 22:00:00,199.96999999998863,195.855,196.05499999999998,Win,14199.879999999768
Buy,2024-10-31 22:00:00,2024-10-31 23:00:00,199.96999999998863,195.872,196.072,Win,14399.849999999757
Buy,2024-10-31 23:00:00,2024-11-01 01:00:00,199.96999999998863,196.035,196.23499999999999,Win,14599.819999999745
Buy,2024-11-01 01:00:00,2024-11-01 02:00:00,-99.96999999999431,196.189,196.089,Loss,14499.849999999751
Sell,2024-11-06 05:00:00,2024-11-06 06:00:00,199.96999999998863,198.406,198.20600000000002,Win,14699.81999999974
Buy,2024-11-08 11:00:00,2024-11-08 12:00:00,-99.96999999999431,197.352,197.252,Loss,14599.849999999746
Buy,2024-11-08 12:00:00,2024-11-08 13:00:00,199.96999999998863,197.253,197.45299999999997,Win,14799.819999999734
Buy,2024-11-08 13:00:00,2024-11-08 14:00:00,-99.96999999999431,197.656,197.556,Loss,14699.84999999974
Buy,2024-11-15 12:00:00,2024-11-15 13:00:00,199.96999999998863,196.847,197.047,Win,14899.819999999729
Buy,2024-11-15 18:00:00,2024-11-15 19:00:00,-99.96999999999431,195.212,195.112,Loss,14799.849999999735
Buy,2024-11-15 19:00:00,2024-11-15 20:00:00,-99.96999999999431,194.81,194.71,Loss,14699.87999999974
Buy,2024-11-15 20:00:00,2024-11-15 21:00:00,199.96999999998863,194.404,194.60399999999998,Win,14899.84999999973
Buy,2024-11-15 21:00:00,2024-11-15 22:00:00,-99.96999999999431,194.487,194.387,Loss,14799.879999999735
Buy,2024-11-15 22:00:00,2024-11-15 23:00:00,199.96999999998863,194.501,194.701,Win,14999.849999999724
Buy,2024-11-15 23:00:00,2024-11-18 00:00:00,-99.96999999999431,194.817,194.717,Loss,14899.87999999973
Buy,2024-11-18 00:00:00,2024-11-18 01:00:00,199.96999999998863,194.875,195.075,Win,15099.849999999718
Buy,2024-11-18 01:00:00,2024-11-18 02:00:00,-99.96999999999431,195.136,195.036,Loss,14999.879999999725
Buy,2024-11-19 12:00:00,2024-11-19 13:00:00,199.96999999998863,194.3,194.5,Win,15199.849999999713
Sell,2024-11-20 10:00:00,2024-11-20 11:00:00,-99.96999999999431,197.277,197.37699999999998,Loss,15099.879999999719
Buy,2024-11-21 12:00:00,2024-11-21 13:00:00,199.96999999998863,195.03,195.23,Win,15299.849999999708
Buy,2024-11-21 13:00:00,2024-11-21 14:00:00,199.96999999998863,195.296,195.49599999999998,Win,15499.819999999696
Buy,2024-11-21 17:00:00,2024-11-21 18:00:00,-99.96999999999431,194.713,194.613,Loss,15399.849999999702
Buy,2024-11-21 18:00:00,2024-11-21 19:00:00,-99.96999999999431,194.635,194.535,Loss,15299.879999999708
Buy,2024-11-21 19:00:00,2024-11-21 20:00:00,199.96999999998863,194.594,194.79399999999998,Win,15499.849999999697
Buy,2024-11-21 20:00:00,2024-11-21 21:00:00,-99.96999999999431,194.746,194.64600000000002,Loss,15399.879999999703
Buy,2024-11-21 23:00:00,2024-11-22 01:00:00,-99.96999999999431,194.504,194.404,Loss,15299.909999999709
Buy,2024-11-22 01:00:00,2024-11-22 02:00:00,199.96999999998863,193.999,194.19899999999998,Win,15499.879999999697
Buy,2024-11-22 02:00:00,2024-11-22 03:00:00,-99.96999999999431,194.303,194.203,Loss,15399.909999999703
Buy,2024-11-22 12:00:00,2024-11-22 13:00:00,-99.96999999999431,193.428,193.328,Loss,15299.93999999971
Buy,2024-11-22 14:00:00,2024-11-22 15:00:00,-99.96999999999431,193.306,193.20600000000002,Loss,15199.969999999716
Buy,2024-11-26 03:00:00,2024-11-26 04:00:00,199.96999999998863,192.971,193.171,Win,15399.939999999704
Buy,2024-11-26 20:00:00,2024-11-26 21:00:00,-99.96999999999431,192.248,192.148,Loss,15299.96999999971
Buy,2024-11-26 21:00:00,2024-11-26 23:00:00,199.96999999998863,192.087,192.28699999999998,Win,15499.939999999699
Buy,2024-11-27 04:00:00,2024-11-27 05:00:00,-99.96999999999431,191.925,191.82500000000002,Loss,15399.969999999705
Buy,2024-11-27 06:00:00,2024-11-27 07:00:00,-99.96999999999431,191.49,191.39000000000001,Loss,15299.99999999971
Buy,2024-11-27 07:00:00,2024-11-27 08:00:00,-99.96999999999431,191.58,191.48000000000002,Loss,15200.029999999717
Buy,2024-11-27 08:00:00,2024-11-27 09:00:00,199.96999999998863,191.219,191.41899999999998,Win,15399.999999999705
Buy,2024-11-27 09:00:00,2024-11-27 10:00:00,-99.96999999999431,191.335,191.235,Loss,15300.029999999711
Buy,2024-11-27 10:00:00,2024-11-27 11:00:00,-99.96999999999431,191.276,191.17600000000002,Loss,15200.059999999718
Buy,2024-11-27 11:00:00,2024-11-27 12:00:00,-99.96999999999431,190.914,190.814,Loss,15100.089999999724
Buy,2024-11-27 12:00:00,2024-11-27 14:00:00,199.96999999998863,190.97,191.17,Win,15300.059999999712
Buy,2024-11-27 14:00:00,2024-11-27 15:00:00,199.96999999998863,191.284,191.48399999999998,Win,15500.0299999997
Buy,2024-11-29 04:00:00,2024-11-29 05:00:00,199.96999999998863,190.829,191.029,Win,15699.999999999689
Buy,2024-11-29 13:00:00,2024-11-29 14:00:00,-99.96999999999431,190.511,190.411,Loss,15600.029999999695
Buy,2024-12-02 19:00:00,2024-12-02 20:00:00,199.96999999998863,189.152,189.35199999999998,Win,15799.999999999683
Sell,2024-12-04 13:00:00,2024-12-04 14:00:00,-99.96999999999431,191.318,191.418,Loss,15700.02999999969
